,lower,upper
2025-07-31,261.7549459145638,281.3420598679926
2025-08-01,255.51257492898824,285.60976136287644
2025-08-04,251.2393021684969,288.26338283505606
2025-08-05,247.84474143154247,290.6234041126347
2025-08-06,244.84645487475208,293.3002090507081
2025-08-07,241.87247438360586,295.6043102170164
2025-08-08,239.20459056461004,297.9873044330445
2025-08-11,236.61685485526255,300.096838841229
2025-08-12,234.27751558060572,302.2961493570349
2025-08-13,231.97479215733574,304.2722830776314
2025-08-14,229.866908871413,306.3096470829622
2025-08-15,227.78347442495732,308.1623585712238
2025-08-18,225.85872734654777,310.0597607943315
2025-08-19,223.9504574846594,311.8038442255752
2025-08-20,222.17195262641246,313.5792488539562
2025-08-21,220.40578451961284,315.2267037032737
2025-08-22,218.74680425317177,316.8955326728307
2025-08-25,217.09804911556975,318.45725781502347
2025-08-26,215.53849069346015,320.0328238428533
2025-08-27,213.98819694655873,321.5184135642675
2025-08-28,212.51267085280236,323.01213406977223
2025-08-29,211.04608212710676,324.4299769540903
2025-09-01,209.64260087362763,325.8516115459371
2025-09-02,208.2480508527045,327.2089848651468
2025-09-03,206.90712621133383,328.56685402091597
2025-09-04,205.57526518004852,329.87004585652164
2025-09-05,204.28927367536,331.1712388649417
2025-09-08,203.0125116463759,332.42567482070064
2025-09-09,201.775240867536,333.6762375090749
2025-09-10,200.5473419445997,334.8866019015934
2025-09-11,199.35366199864194,336.09170155780276
2025-09-12,198.16944503854893,337.26204727017546
2025-09-15,197.0150676041082,338.4261142934376
2025-09-16,195.87018272672623,339.55995906247193
2025-09-17,194.75148224148285,340.68680678216
2025-09-18,193.64224206989144,341.78721578512426
2025-09-19,192.55612145949794,342.8801407593446
2025-09-22,191.47937227848576,343.94979646660744
2025-09-23,190.42316095161243,345.0116618783304
2025-09-24,189.37618328354748,346.0529226239172
2025-09-25,188.3475587401761,347.0862273498919
2025-09-26,187.32798982033574,348.10117619910176
2025-09-29,186.3249167180228,349.1081119076067
2025-09-30,185.33068943656684,350.0985973378236
2025-10-01,184.35137169670287,351.08109567900266
2025-10-02,183.38066604489586,352.0487654375264
2025-10-03,182.42350879960122,353.00853708434954
2025-10-06,181.47471290369026,353.9548664035091
2025-10-07,180.53829194557335,354.8934334135301
2025-10-08,179.6099705217404,355.8197485797315
2025-10-09,178.69300753271744,356.7384712919091
2025-10-10,177.78387613890573,357.64596939688204
2025-10-13,176.88521841526045,358.54606885812854
2025-10-14,175.994122271212,359.43583441357595
2025-10-15,175.11272598135628,360.31841114553237
2025-10-16,174.23862241908955,361.1914301177968
2025-10-17,173.37353866354948,362.0574798822432
2025-10-20,172.51548248627233,362.91465160011245
2025-10-21,171.66584560096538,363.765078697119
2025-10-22,170.82297678981865,364.6072260010418
2025-10-23,169.98799446101526,365.44285453307674
2025-10-24,169.1595277908002,366.2707324650843
2025-10-27,168.33847264547612,367.0923159187563
2025-10-28,167.52368886313405,367.9066191966203
2025-10-29,166.71589127037845,368.7148486280087
2025-10-30,165.91412956101533,369.51621810221025
2025-10-31,165.1189714349473,370.31172915880495
2025-11-03,164.32962295509157,371.1007574146975
2025-11-04,163.54653239180473,371.8841363843451
2025-11-05,162.76903469234165,372.66137262275186
2025-11-06,161.99748130596427,373.43316166564443
2025-11-07,161.2313135007337,374.1991159716324
2025-11-10,160.47080434910896,374.95981766363553
2025-11-11,159.7154829116539,375.71496475422805
2025-11-12,158.9655589221411,376.4650460473981
2025-11-13,158.22063401417142,377.20982857360787
2025-11-14,157.4808668359176,377.9497242615456
2025-11-17,156.7459190879216,378.6845557276105
2025-11-18,156.01590830960944,379.4146714884881
2025-11-19,155.2905459876297,380.1399388409968
2025-11-20,154.56991666988495,380.8606539190125
2025-11-21,153.8537731734716,381.57671985025536
2025-11-24,153.14217365335384,382.28838942637964
2025-11-25,152.43490529866415,382.99559442939403
2025-11-26,151.73200523037912,383.6985517241482
2025-11-27,151.03328927971813,384.3972159312566
2025-11-28,150.33877788119452,385.0917740755695
2025-12-01,149.64831078631727,385.7821989075048
2025-12-02,148.9618952658309,386.46865261215623
2025-12-03,148.27939109730215,387.15112226095306
2025-12-04,147.6007952380942,387.82974931051945
2025-12-05,146.9259842771318,388.50453207607177
2025-12-08,146.25494716110637,389.1755946694612
2025-12-09,145.58757463377302,389.84294416689613
2025-12-10,144.92384948798593,390.50669012336476
2025-12-11,144.26367442447255,391.16684637606
2025-12-12,143.60702757633658,391.823510222919
2025-12-15,142.95382178049596,392.47670065402866
2025-12-16,142.3040317094957,393.126504609996
2025-12-17,141.65757882582085,393.77294494367715
2025-12-18,141.01443530111914,394.41609980992547
2025-12-19,140.37452996808355,395.05599489203604
2025-12-22,139.73783326275108,395.6927008613744
2025-12-23,139.1042803428886,396.32624540819245
2025-12-24,138.47384051664653,396.9566928014507
2025-12-25,137.846454394993,397.5840720839192
2025-12-26,137.2220906383507,398.20844202143644
2025-12-29,136.60069458193172,398.8298324915355
2025-12-30,135.98223461545507,399.44829750665696
2025-12-31,135.36666018741482,400.06386737172704
2026-01-01,134.7539397106011,400.6765919723572
2026-01-02,134.14402623334908,401.28650172252014
2026-01-05,133.5368884182217,401.8936429060469
2026-01-06,132.93248248064893,402.49804579928684
2026-01-07,132.3307775057431,403.09975352555387
2026-01-08,131.73173251013964,403.69879603450715
2026-01-09,131.13531713103282,404.2952136609679
2026-01-12,130.54149287584633,404.8890358850259
2026-01-13,129.95023002881138,405.4803005677335
2026-01-14,129.36149232382198,406.06903661367005
2026-01-15,128.77525075955012,406.6552796773466
2026-01-16,128.19147107042,407.2390580113399
2026-01-19,127.61012501508708,407.82040529140863
2026-01-20,127.03118013457649,408.3993490650249
2026-01-21,126.45460897581063,408.9759212241729
2026-01-22,125.88038071924376,409.55014857661337
